latitude,longitude,date,Mean_estimated_fire_brightness,Mean_confidence,Temperature,Precipitation,WindSpeed,SoilWaterContent,SolarRadiation,RelativeHumidity
-28.5367,150.1429,2012-04-10,314.5,64,17.9,0.0,22.1,0.192,21.98,34
-28.8124,148.5906,2012-04-10,319.7,72,16.8,0.0,25.6,0.047,22.02,36
-28.3186,150.3837,2012-04-10,315.0,52,18.1,0.0,21.3,0.191,22.03,34
-30.4669,148.7083,2012-04-10,380.9,100,15.6,0.0,17.5,0.098,21.29,38
-30.4711,148.6832,2012-04-10,317.3,37,15.6,0.0,17.5,0.098,21.29,38
-30.4613,148.681,2012-04-10,336.0,88,15.7,0.0,17.5,0.098,21.29,38
-30.0826,149.3341,2012-04-10,324.6,79,16.5,0.0,19.9,0.263,21.51,36
-30.0458,149.4828,2012-04-10,312.4,54,16.5,0.0,21.0,0.095,21.52,36
-29.5589,151.2528,2012-04-10,354.3,97,13.7,0.0,19.1,0.108,21.92,47
-29.3668,151.5503,2012-04-10,309.4,77,13.7,0.0,16.7,0.222,21.95,44
-29.3724,151.5562,2012-04-10,328.6,100,13.6,0.0,18.3,0.19,21.98,46
-29.544,151.2393,2012-04-10,302.6,50,14.2,0.0,19.1,0.094,21.92,44
-29.3663,151.5554,2012-04-10,314.6,31,13.6,0.0,18.3,0.19,21.98,46
-28.8995,150.4189,2012-04-11,314.9,70,18.0,0.0,17.7,0.116,19.39,40
-28.9332,148.0973,2012-04-11,320.0,74,16.9,0.0,19.9,0.133,21.14,42
-29.4048,151.57,2012-04-11,319.1,75,13.1,0.0,17.6,0.186,18.44,56
-29.5485,151.2507,2012-04-11,312.7,44,14.5,0.0,17.0,0.101,18.87,51
-29.5459,151.2699,2012-04-11,309.6,47,14.7,0.0,17.0,0.085,18.87,50
-30.0718,149.3428,2012-04-11,317.3,75,16.8,0.0,23.2,0.262,20.14,46
-30.0665,149.3375,2012-04-11,313.9,30,16.8,0.0,23.2,0.262,20.14,46
-32.9805,146.3236,2012-04-11,316.8,71,13.4,0.0,13.3,0.123,19.7,50
-32.989,146.3084,2012-04-11,313.5,68,13.5,0.0,13.3,0.123,19.7,50
-32.9906,146.322,2012-04-11,327.8,84,13.5,0.0,13.3,0.123,19.7,50
-33.8324,142.0101,2012-04-11,311.8,67,13.7,0.0,15.9,0.198,19.17,55
-34.6149,146.6919,2012-04-11,308.4,44,12.3,0.0,10.2,0.186,19.07,55
-34.6206,146.7,2012-04-11,306.1,41,12.3,0.0,10.2,0.186,19.07,55
-35.5925,150.229,2012-04-11,311.8,70,13.3,0.4,27.9,0.299,11.59,71
-35.5869,150.2239,2012-04-11,314.8,75,13.0,0.3,20.8,0.299,12.45,71
-35.4288,146.8432,2012-04-11,332.8,88,11.7,0.0,11.0,0.206,18.72,58
-35.4305,146.8593,2012-04-11,316.4,77,11.8,0.0,11.0,0.21,18.72,58
-35.2264,144.0226,2012-04-11,305.8,50,13.4,0.0,12.8,0.253,18.62,59
-35.228,144.0344,2012-04-11,306.7,54,13.4,0.0,12.8,0.253,18.62,59
-37.4469,143.5615,2012-04-11,304.1,42,11.1,0.0,12.4,0.213,17.0,72
-37.4484,143.5738,2012-04-11,317.5,78,11.0,0.0,12.4,0.213,17.0,72
-37.4108,143.2078,2012-04-11,317.4,77,11.3,0.0,11.9,0.158,17.14,71
-37.4124,143.2198,2012-04-11,327.6,85,11.3,0.0,11.9,0.158,17.14,71
-37.4201,143.2059,2012-04-11,328.1,85,11.4,0.0,11.9,0.158,17.14,71
-37.4217,143.2179,2012-04-11,351.9,97,11.4,0.0,11.9,0.158,17.14,71
