latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,LandCover_Value,Precipitation,RelativeHumidity,SolarWaterContent,SolarRadiation,Temperature,WindSpeed,NearbyHotspots,Bushfire_Probability
-37.23245,141.05653,349.61,0.4,0.44,2025-06-30,402,N21,VIIRS,n,2.0NRT,288.34,17.9,D,,0.0,96.0,0.213,0.0,5.5,8.4,0,66.49712
-37.23201,141.06107,352.67,0.4,0.44,2025-06-30,402,N21,VIIRS,n,2.0NRT,289.62,17.9,D,,0.0,96.0,0.213,0.0,5.4,8.4,0,66.04127
-37.22834,141.05592,337.67,0.4,0.44,2025-06-30,402,N21,VIIRS,n,2.0NRT,286.17,7.74,D,,0.0,96.0,0.213,0.0,5.5,8.4,0,66.18657
-37.22791,141.06042,340.58,0.4,0.44,2025-06-30,402,N21,VIIRS,n,2.0NRT,280.72,7.74,D,,0.0,96.0,0.213,0.0,5.5,8.4,0,66.75488
-37.07288,144.76036,326.05,0.42,0.38,2025-06-30,402,N21,VIIRS,n,2.0NRT,284.16,3.16,D,,0.0,91.0,0.25,0.0,7.8,8.5,0,63.174614
-35.85502,144.81161,327.55,0.41,0.37,2025-06-30,402,N21,VIIRS,n,2.0NRT,286.1,4.74,D,,,,,,,,0,59.64457
-35.56894,149.7953,325.22,0.42,0.38,2025-06-30,402,N21,VIIRS,n,2.0NRT,283.13,2.12,D,,0.0,100.0,0.176,0.0,2.0,3.8,0,60.7313
-35.00967,146.84457,329.58,0.38,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,288.16,2.76,D,,0.0,100.0,0.236,0.0,2.2,2.9,0,61.893383
-34.54034,145.94643,326.95,0.39,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,285.91,1.42,D,,0.0,99.0,0.166,0.0,1.9,3.6,0,63.63896
-34.44353,148.20888,327.81,0.4,0.37,2025-06-30,402,N21,VIIRS,n,2.0NRT,285.01,2.62,D,,0.0,100.0,0.207,0.0,-0.0,6.1,0,60.436005
-33.77698,149.48708,327.16,0.43,0.38,2025-06-30,402,N21,VIIRS,n,2.0NRT,285.64,4.97,D,,0.0,99.0,0.224,0.0,-0.1,6.6,0,60.909416
-33.4521,148.23665,328.76,0.4,0.37,2025-06-30,402,N21,VIIRS,n,2.0NRT,288.62,3.16,D,,0.0,100.0,0.164,0.0,1.7,3.9,0,62.042896
-33.29287,145.83707,333.75,0.39,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,286.14,3.37,D,,0.0,91.0,0.217,0.0,3.9,5.5,0,58.88252
-33.28695,148.95401,327.63,0.42,0.38,2025-06-30,402,N21,VIIRS,n,2.0NRT,288.47,2.53,D,,0.0,92.0,0.204,0.0,3.0,6.5,0,60.870354
-33.21279,147.4249,332.27,0.39,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,287.41,3.17,D,,0.0,90.0,0.163,0.0,5.4,5.6,0,59.02896
-33.20938,145.46619,329.76,0.39,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,290.84,21.99,D,,0.0,91.0,0.21,0.0,3.5,7.1,0,63.01807
-32.97282,146.2265,326.06,0.38,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,286.89,7.91,D,,0.0,90.0,0.125,0.0,5.0,3.6,0,61.42144
-32.96951,146.22578,327.33,0.38,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,286.67,7.91,D,,0.0,90.0,0.125,0.0,5.1,3.6,0,61.131363
-32.8253,146.43356,355.1,0.38,0.36,2025-06-30,402,N21,VIIRS,n,2.0NRT,294.7,21.5,D,,0.0,88.0,0.129,0.0,4.6,3.4,0,64.32815
-32.61858,148.16354,327.06,0.41,0.37,2025-06-30,402,N21,VIIRS,n,2.0NRT,287.86,2.45,D,,0.0,92.0,0.159,0.0,3.4,5.4,0,60.867367
-31.70124,145.69211,330.39,0.38,0.36,2025-06-30,404,N21,VIIRS,n,2.0NRT,292.46,3.3,D,,0.0,82.0,0.115,0.0,7.4,5.5,0,61.289265
-31.37804,145.67297,329.95,0.38,0.36,2025-06-30,404,N21,VIIRS,n,2.0NRT,292.39,3.95,D,,0.0,77.0,0.146,0.0,7.7,7.6,0,64.16718
-31.37472,145.67229,330.49,0.38,0.36,2025-06-30,404,N21,VIIRS,n,2.0NRT,291.0,3.95,D,,0.0,77.0,0.146,0.0,7.7,7.6,0,62.391113
-31.35003,145.65468,331.18,0.38,0.36,2025-06-30,404,N21,VIIRS,n,2.0NRT,293.65,4.59,D,,0.0,77.0,0.146,0.0,7.7,7.6,0,62.5161
-31.06359,146.93166,329.06,0.39,0.36,2025-06-30,404,N21,VIIRS,n,2.0NRT,291.35,1.89,D,,0.0,82.0,0.133,0.0,9.0,7.2,0,67.93699
-31.04475,146.13808,336.47,0.39,0.36,2025-06-30,404,N21,VIIRS,n,2.0NRT,289.99,5.05,D,,0.0,77.0,0.129,0.0,9.7,6.9,0,67.008316
-30.35061,147.70277,331.7,0.41,0.37,2025-06-30,404,N21,VIIRS,n,2.0NRT,291.08,5.76,D,,0.0,77.0,0.19,0.0,10.1,6.9,0,64.878136
-29.35216,148.56206,347.41,0.45,0.39,2025-06-30,404,N21,VIIRS,n,2.0NRT,272.25,9.93,D,,0.0,88.0,0.196,0.0,9.4,4.5,0,67.97784
-29.34839,148.54198,328.02,0.45,0.39,2025-06-30,404,N21,VIIRS,n,2.0NRT,272.07,4.33,D,,0.0,88.0,0.196,0.0,9.5,4.5,0,65.2815
